id,brand,model,ram,hd_type,hd_size,screen_size,price,processor_brand,processor_model,clock_speed,graphic_card_brand,graphic_card_size,os,weight,comments
102,HP,ay516tx,4,hdd,1024,15.6,4210,intel,i5,2.3,amd,2,windows,1.28,
103,Acer,A315-31-P4CRUN.GNTSI.002,4,hdd,500,15.6,1899,intel,pentium,1.1,intel,,windows,,
105,Lenovo,320E-15IKB 80XL03FYIN,4,hdd,1024,15,4559,intel,i5,2.2,amd,2,windows,2.5,customer rating 3.8
106,Dell,Inspiron 15 7560,8,ssd,128,15.6,7600,intel,i7,2.7,nvidia,4,windows,3.2,
107,HP,15q-BU011TX,8,hdd,1024,15.6,4299,intel,i5,2.5,amd,2,windows,2.1,
108,Lenovo,300 300-15ISK 80Q700UGIN,4,hdd,1024,15.6,4799,intel,i5,2.3,amd,2,windows,3.2,customer rating 3.0
109,Dell,XPS 12 Ultrabook,4,ssd,128,12,10106,intel,i5,2.6,intel,,windows,3.2,"Average Battery Life (in hours):	4
Lithium Battery Energy Content:	  50 Watt Hours"
110,HP,15-BS580TX,8,hdd,1024,15.6,4299,intel,i3 ,2,amd,2,windows,2.1,
111,Lenovo,510 80VB00ACIH,4,hdd,1024,14,4799,intel,i3,2.4,intel,2,windows,1.7,customer rating 4.0
112,Acer,Aspire ES-15 NX.GKYSI.010 ,4,hdd,500,15.6,1799,amd,A4-7210,1.8,amd,,windows,2.4,
113,Lenovo,500 80NS0072IN,4,hdd,1024,14,49052,intel,i5,2.3,amd,2,windows,2.3,customer rating 3.0
114,HP,450-Ci3,4,hdd,512,13.86,43113,intel,i3,2.4,intel,,windows,2.25,
115,Lenovo,320S-14IKB,4,hdd,1024,14,48449,intel,i5,3.1,intel,2,windows,1.7,customer rating 3.1
116,Acer,Aspire R3-131T ,4,hdd,500,11.6,2649,intel,Pentium N3700,1.6,intel,,windows,1.58,
117,HP,15-be001TX,8,hdd,1024,15.6,4399,intel,i5,2.3,amd,2,windows,2.19,
118,HP,15-ac123tx,4,hdd,1024,15.6,4400,intel,i5,2.2,amd,2,windows,2.19,
119,Acer,Aspire Es1-572-38Cy,4,hdd,1024,15.6,2489,intel,i3,2.3,intel,,linux,3.36,
120,Alienware,OEM,16,hdd,1024,15.6,15126,intel,i7,2.6,nvidia,4,windows,3.18,"Display: 15.6"" in 4K UHD IPS touchscreen (3840 x 2160), 10-finger multi-touch support
Audio: Klipsch Audio"
121,Acer,A315-21G NX.GNPSI.002 ,4,hdd,500,15.6,2499,intel,i3,2,intel,,linux,2.1,
122,Alienware,13 Y560901IN9,8,hdd,1024,13,11729,intel,i5,2.7,nvidia,2,windows,2.5,""
123,HP,"245 G4,P1b38PA",4,ssd,1024,15.6,2199,amd,E2-7110,1.8,amd,,linux,2.93,
124,HP,N5Y13UA#ABA,4,hdd,500,15.6,4113,intel,i5,2.3,amd,2,windows,2.1,
125,Dell,Inspiron 15 3551,2,hdd,500,15.6,2300,intel,Pentium,2.16,intel,,linux,3.12,Integrated graphics
126,Alienware,ANW17-2143SLV,8,hdd,1024,17.3,17843,intel,i7,2.5,nvidia,3,windows,3.8,17.3 inch FHD (1920 x 1080) IPS-Panel Anti-Glare 300-nits Display
127,HP,15-ac118tu,4,ssd,500,15.6,2399,intel,Pentium N3825U,1.9,intel,,linux,3.03,Intel Integrated Graphics
128,Acer,E5-575 NX.GE6SI.016,4,hdd,1024,15.6,3470,intel,i5,2.5,nvidia,,linux,2.2,
129,HP,15-AY542TU,4,hdd,1024,15.6,2859,intel,i3,2,intel,,linux,2.19,
130,HP,245 G5,4,hdd,500,14,4019,amd,APU Dual Core A4,1.8,amd,2,windows,1.8,
131,Acer,Aspire R3-131T 2017 ,4,hdd,500,11.6,2719,intel,Pentium N3710,1.6,intel,,windows,2.4,
132,Dell,Inspiron 5558,2,hdd,500,15.6,3779,intel,I3,1.7,intel,,windows,,
133,HP,15- BS547TU,4,ssd,500,15.6,2629,intel,Pentium N3710  ,1.6,,,windows,2.1,Integrated Graphics
134,Alienware,17R3 1471045648,8,hdd,1024,17.3,15045,intel,i7,2.6,nvidia,3,windows,3.8,""
135,HP,11-ad022TU,4,hdd,1024,11.6,4049,intel,i3,2.4,amd,,windows,1.39,
136,HP,15-BE002TU,4,hdd,1024,15.6,2525,intel,Pentium N3710,1.6,intel,,linux,2.19,""
137,Acer,ASPIRE ES1-572-33M8,4,hdd,1024,15.6,3399,intel,i3,2,intel,,windows,3,
138,HP,15-ay008TX,4,hdd,1024,15.6,4089,intel,i5,2.3,amd,2,windows,2.19,
139,HP,Pavilion 15-AU624TX,4,hdd,1024,15.6,58988,intel,i5,2.5,nvidia,4,windows,2.04,
140,Dell,Inspiron i3168,2,ssd,32,11.6,3728,intel,Celeron N3060,1.6,intel,,windows,1.45,
141,HP,15-bg007AU,4,ssd,500,15.6,2399,amd,A6-7310,2,amd,,windows,2.5,
142,HP,13-s101TU,4,hdd,1024,13.3,5790,intel,i5,2.3,intel,,windows,1.71,
143,Acer,ASPIRE E5-575 ,4,hdd,1024,15.6,2728,intel,i3,2.3,,2,linux,,
144,HP,M2C39UA#ABA,2,ssd,32,14,4122,amd,E1-6015,1.4,nvidia,,windows,1.9,
145,HP,1EK01PA,4,hdd,1024,15.6,4138,intel,i5,3.1,amd,2,windows,2.3,
146,HP,Pavilion 15-AU006TX,8,hdd,1024,15.6,5700,intel,i5,2.3,nvidia,4,windows,2.9,
147,Acer,Aspire ES 15,4,hdd,1024,15.6,1959,amd,E1-7010,1.5,amd,,linux,2.4,
148,Microsoft,Surface Pro 4 CR5-00028,4,ssd,128,12.3,6650,intel,i5,1.8,intel,,windows,0.78,"Laptop/Tablet: Go from tablet to laptop in a snap with the multi-position Kickstand and improved keyboard. (to be purchased separately)
Integrated Graphics
Full HD Display
"
149,HP,E4X93PA,2,ssd,64,10.1,4159,intel,i3,1.8,nvidia,,windows,1.26,
150,HP,15-AY079TX,8,hdd,1024,15.6,4185,intel,i3,2,amd,,windows,2.2,
151,Microsoft,Surface Pro 4 CR3-00022,8,ssd,256,12.3,8890,intel,i5,1.8,intel,,windows,0.79,"Laptop/Tablet: Go from tablet to laptop in a snap with the multi-position Kickstand and improved keyboard. (to be purchased separately)
Integrated Graphics
Surface Pen included"
152,Acer,Aspire SW3-016 ,2,ssd,32,10.1,1387,intel,Atom Z8300,1.44,intel,,windows,1.2,
153,Microsoft,Surface Pro 4 CQ9-00016,8,ssd,256,12.3,1229,intel,i7,1.8,intel,,windows,0.79,"Laptop/Tablet: Go from tablet to laptop in a snap with the multi-position Kickstand and improved keyboard. (to be purchased separately)
Integrated Graphics
Surface Pen included"
154,HP,ProBook 450 G4 Notebook,4,hdd,1024,15.6,5619,intel,i5,2.5,intel,,linux,,
155,Microsoft,Surface Laptop DAG-00001,8,ssd,256,13.5,17190,intel,i5,1.8,intel,,windows,1.2,Integrated Graphics
156,HP,Pavilion15t,8,hdd,1024,15,5699,intel,i5,2.5,nvidia,2,windows,2.8,
157,Microsoft,Surface Book CR9-00001,8,ssd,128,13.5,14386,intel,i5,1.8,intel,,windows,1.6,""
158,Microsoft,Surface Book CR9-00013,8,ssd,128,13.5,17879,intel,i5,1.8,intel,,windows,1.5,""
159,Lenovo,IdeaPad 520-15IKB,8,hdd,1024,15.6,5899,intel,i5,3.1,nvidia,4,windows,2.2,Dolby Audio
160,Lenovo,IdeaPad 520-15IKB,8,hdd,2048,15.6,6100,intel,i5,3.1,nvidia,4,windows,2.2,Dolby Audio
161,Lenovo,IdeaPad 520-15IKB 80YL00RXIN ,8,hdd,1024,15.6,6999,intel,i7,3.5,nvidia,4,windows,2.2,"Core i7-7500U 7th Gen processor, Dolby Audio"
162,Asus,X540YA-XO290D,4,hdd,1024,15.6,1999,amd,APU Quad Core E2,1.8,amd,,linux,2,
163,Asus,P2420SA,4,hdd,500,14,2229,intel,Pentium Quad Core,1.6,intel,,linux,1.95,
164,Asus,X540LA-XX596D,4,hdd,1024,15.6,2699,intel,i3 5th gen,2,intel,,linux,1.9,
165,Asus,X541UA-GO1345D,4,hdd,1024,15.6,2773,intel,i3 6th gen,2,intel,,linux,1.84,
166,Asus,A555LF,8,hdd,1024,15.6,3996,intel,i3 4th gen,1.7,nvidia,2,windows,2.3,
167,Asus,X555LA-XX172D,4,hdd,500,15.6,2849,intel,i3 4th gen,1.9,intel,,linux,2.3,
168,Asus,X554LD,2,hdd,500,15.6,2919,intel,i3 4th gen,1.9,intel,1,linux,2.3,
169,Asus,X550LAV-XX771D,2,hdd,500,15.6,2999,intel,i3 4th gen,1.7,intel,,linux,2.5,
170,Asus,X540LA-XX538T,4,hdd,1024,15.6,3089,intel,i3 5th gen,2,intel,,windows,2.3,
